City,State,2021,2010,Change
São Leopoldo, Rio Grande do Sul,240378,214087,0.1228
Rondonópolis, Mato Grosso,239613,195476,0.2258
Hortolândia, São Paulo,237570,192692,0.2329
Jacareí, São Paulo,237119,211214,0.1226
Arapiraca, Alagoas,234309,214006,0.0949
Cabo Frio, Rio de Janeiro,234077,186227,0.2569
Presidente Prudente, São Paulo,231953,207610,0.1173
Maracanaú, Ceará,230986,209057,0.1049
Dourados, Mato Grosso do Sul,227990,196035,0.163
Chapecó, Santa Catarina,227587,183530,0.2401
Itajaí, Santa Catarina,226617,183373,0.2358
Águas Lindas de Goiás, Goiás,222850,159378,0.3982
Santa Luzia, Minas Gerais,221705,202942,0.0925
Juazeiro, Bahia,219544,197965,0.109
Criciúma, Santa Catarina,219393,192308,0.1408
Parauapebas, Pará,218787,153908,0.4215
Luziânia, Goiás,214645,174531,0.2298
Itabuna, Bahia,214123,204667,0.0462
Rio Grande, Rio Grande do Sul,212881,197228,0.0794
Sobral, Ceará,212437,188233,0.1286
Alvorada, Rio Grande do Sul,212352,195673,0.0852
Cachoeiro de Itapemirim, Espírito Santo,212172,189889,0.1173
Cabo de Santo Agostinho, Pernambuco,210796,185025,0.1393
Angra dos Reis, Rio de Janeiro,210171,169511,0.2399
Rio Claro, São Paulo,209548,186253,0.1251
Passo Fundo, Rio Grande do Sul,206103,184826,0.1151
Castanhal, Pará,205667,173149,0.1878
Lauro de Freitas, Bahia,204669,163449,0.2522
Araçatuba, São Paulo,199210,181579,0.0971
Ferraz de Vasconcelos, São Paulo,198661,168306,0.1804
Santa Bárbara d'Oeste, São Paulo,195278,180009,0.0848
Nova Friburgo, Rio de Janeiro,191664,182082,0.0526
Nossa Senhora do Socorro, Sergipe,187733,160827,0.1673
Araguaína, Tocantins,186245,150484,0.2376
Teresópolis, Rio de Janeiro,185820,163746,0.1348
Barra Mansa, Rio de Janeiro,185237,177813,0.0418
Jaraguá do Sul, Santa Catarina,184579,143123,0.2897
Ibirité, Minas Gerais,184030,158954,0.1578
Guarapuava, Paraná,183755,167328,0.0982
São José de Ribamar, Maranhão,180345,163045,0.1061
Linhares, Espírito Santo,179755,141306,0.2721
Itapecerica da Serra, São Paulo,179574,152614,0.1767
Francisco Morato, São Paulo,179372,154472,0.1612
Palhoça, Santa Catarina,178679,137334,0.3011
Itu, São Paulo,177150,154147,0.1492
Mesquita, Rio de Janeiro,177016,168376,0.0513
Valparaíso de Goiás, Goiás,175720,132982,0.3214
Bragança Paulista, São Paulo,172346,146744,0.1745
Pindamonhangaba, São Paulo,171885,146995,0.1693
Timon, Maranhão,171317,155460,0.102
Poços de Caldas, Minas Gerais,169838,152435,0.1142
Maricá, Rio de Janeiro,167668,127461,0.3154
Itapetininga, São Paulo,167106,144377,0.1574
Caxias, Maranhão,166159,155129,0.0711
